0,000;286,000
1,000;446,000
2,000;170,000
3,000;94,000
4,000;-320,000
5,000;566,000
6,000;-168,000
7,000;526,000
8,000;794,000
9,000;-182,000
10,000;980,000
11,000;-314,000
12,000;434,000
13,000;198,000
14,000;546,000
15,000;236,000
16,000;-212,000
17,000;42,000
18,000;198,000
19,000;502,000
20,000;-330,000
21,000;466,000
22,000;-314,000
23,000;546,000
24,000;94,000
25,000;890,000
26,000;140,000
27,000;592,000
28,000;146,000
29,000;188,000
30,000;318,000
31,000;320,000
32,000;322,000
33,000;-482,000
34,000;650,000
35,000;-350,000
36,000;1002,000
37,000;-326,000
38,000;202,000
39,000;-488,000
40,000;554,000
41,000;-12,000
42,000;1056,000
43,000;-144,000
44,000;948,000
45,000;2,000
46,000;272,000
47,000;-26,000
48,000;870,000
49,000;-658,000
50,000;900,000
51,000;-234,000
52,000;540,000
53,000;128,000
54,000;412,000
55,000;-238,000
56,000;156,000
57,000;-238,000
58,000;662,000
59,000;410,000
60,000;196,000
61,000;706,000
62,000;164,000
63,000;-22,000
64,000;182,000
65,000;1000,000
66,000;-604,000
67,000;578,000
68,000;-58,000
69,000;-14,000
70,000;358,000
71,000;422,000
72,000;-112,000
73,000;70,000
74,000;-86,000
75,000;350,000
76,000;878,000
77,000;52,000
78,000;650,000
79,000;52,000
80,000;226,000
81,000;-186,000
82,000;738,000
83,000;-36,000
84,000;446,000
85,000;-464,000
86,000;558,000
87,000;44,000
88,000;498,000
89,000;-80,000
90,000;-120,000
91,000;116,000
92,000;538,000
93,000;396,000
94,000;318,000
95,000;460,000
96,000;370,000
97,000;-252,000
98,000;726,000
99,000;186,000
100,000;2,000
101,000;576,000
102,000;-72,000
103,000;38,000
104,000;0,000
105,000;512,000
106,000;-88,000
107,000;164,000
108,000;-126,000
109,000;452,000
110,000;470,000
111,000;760,000
112,000;-4,000
113,000;898,000
114,000;-80,000
115,000;194,000
116,000;604,000
117,000;232,000
118,000;246,000
119,000;-310,000
120,000;308,000
121,000;154,000
122,000;480,000
123,000;-310,000
124,000;412,000
125,000;-478,000
126,000;672,000
127,000;472,000
128,000;286,000
129,000;394,000
130,000;756,000
131,000;54,000
132,000;296,000
133,000;122,000
134,000;702,000
135,000;-76,000
136,000;-56,000
137,000;-164,000
138,000;418,000
139,000;420,000
140,000;106,000
141,000;-264,000
142,000;162,000
143,000;322,000
144,000;180,000
145,000;958,000
146,000;-276,000
147,000;1184,000
148,000;-140,000
149,000;294,000
150,000;272,000
151,000;264,000
152,000;330,000
153,000;-194,000
154,000;148,000
155,000;94,000
156,000;678,000
157,000;-30,000
158,000;172,000
159,000;-426,000
160,000;538,000
161,000;-28,000
162,000;896,000
163,000;-90,000
164,000;890,000
165,000;-88,000
166,000;490,000
167,000;-154,000
168,000;800,000
169,000;-132,000
170,000;102,000
171,000;16,000
172,000;190,000
173,000;580,000
174,000;110,000
175,000;0,000
176,000;0,000
177,000;146,000
178,000;450,000
179,000;554,000
180,000;6,000
181,000;976,000
182,000;-230,000
183,000;490,000
184,000;-234,000
185,000;862,000
186,000;-204,000
187,000;538,000
188,000;-552,000
189,000;586,000
190,000;148,000
191,000;394,000
192,000;-276,000
193,000;194,000
194,000;268,000
195,000;32,000
196,000;942,000
197,000;-72,000
198,000;492,000
199,000;134,000
200,000;-22,000
201,000;696,000
202,000;382,000
203,000;-256,000
204,000;386,000
205,000;568,000
206,000;-348,000
207,000;80,000
208,000;706,000
209,000;-316,000
210,000;-66,000
211,000;262,000
212,000;306,000
213,000;468,000
214,000;264,000
215,000;536,000
216,000;160,000
217,000;266,000
218,000;50,000
219,000;730,000
220,000;38,000
221,000;512,000
222,000;-324,000
223,000;354,000
224,000;-66,000
225,000;696,000
226,000;-338,000
227,000;326,000
228,000;18,000
229,000;452,000
230,000;410,000
231,000;300,000
232,000;400,000
233,000;646,000
234,000;46,000
235,000;-20,000
236,000;724,000
237,000;126,000
238,000;272,000
239,000;110,000
240,000;-8,000
241,000;-70,000
242,000;1012,000
243,000;-202,000
244,000;118,000
245,000;-310,000
246,000;528,000
247,000;362,000
248,000;646,000
249,000;92,000
250,000;876,000
251,000;96,000
252,000;234,000
253,000;236,000
254,000;408,000
